date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-04-12,117491.14285714286,102,770.2371624982553,121070,157.1853526351687,992634
2022-04-13,117491.14285714286,103,779.5271943256071,118368,151.84588922828252,1004606
2022-04-14,117491.14285714286,104,771.7334835681593,115278,149.37540284892754,994562
2022-04-15,117491.14285714286,105,750.0582499272357,111378,148.4924670994619,966628
2022-04-16,117491.14285714286,106,719.5905514125307,106383,147.8382391085791,927364
2022-04-17,117491.14285714286,107,685.9499919366349,100415,146.38822243659405,884010
2022-04-18,77023.0,108,653.8484697606101,94037,143.82078470632385,842639
2022-04-19,77023.0,109,626.1761031742025,87994,140.5259631498905,806977
2022-04-20,77023.0,110,603.8823298587373,82807,137.1243964355946,778246
2022-04-21,77023.0,111,586.4737519099548,78528,133.8985755871593,755811
2022-04-22,77023.0,112,572.698109836447,74799,130.6080790477226,738058
2022-04-23,77023.0,113,561.0509893378805,71167,126.84586847264474,723048
2022-04-24,77023.0,114,550.0076113891062,67399,122.54194051928889,708816
2022-04-25,53787.142857142855,115,538.1202519847677,63599,118.18733780307578,693496
2022-04-26,53787.142857142855,116,524.1773624047449,60059,114.57763022132437,675527
2022-04-27,53787.142857142855,117,507.49250322883773,57007,112.33072338468514,654025
2022-04-28,53787.142857142855,118,488.2018787945037,54425,111.48052140722882,629164
2022-04-29,53787.142857142855,119,467.34775286276135,52079,111.43522073442647,602289
2022-04-30,53787.142857142855,120,446.5905554655168,49697,111.2809023652479,575538
2022-05-01,53787.142857142855,121,427.5882405954593,47166,110.30705599928716,551049
2022-05-02,37846.857142857145,122,411.28565056049,44593,108.42342770585299,530039
2022-05-03,37846.857142857145,123,397.4469770247616,42214,106.21290999873423,512205
2022-05-04,37846.857142857145,124,384.6889007307424,40219,104.54941622594598,495763
2022-05-05,37846.857142857145,125,371.0593182428744,38638,104.12890365607193,478198
2022-05-06,37846.857142857145,126,354.940127380881,37347,105.2205629033414,457425
2022-05-07,37846.857142857145,127,335.8546657890846,36174,107.7073022493519,432829
2022-05-08,37846.857142857145,128,314.7646496326611,35012,111.23231290699245,405649
2022-05-09,30959.285714285717,129,293.69887964756543,33857,115.27793378247792,378501
2022-05-10,30959.285714285717,130,274.93379663357615,32770,119.19233066742578,354318
2022-05-11,30959.285714285717,131,260.17961728077984,31790,122.18482113336712,335303
2022-05-12,30959.285714285717,132,250.1452388266513,30881,123.4522797429708,322372
2022-05-13,30959.285714285717,133,244.55461292950227,29944,122.44299807434814,315167
2022-05-14,30959.285714285717,134,242.42853519301877,28887,119.15676501118364,312427
2022-05-15,30959.285714285717,135,242.40177431935356,27694,114.248338642581,312392
2022-05-16,23177.0,136,242.97346424420948,26441,108.82258308431777,313129
2022-05-17,23177.0,137,242.7314326339719,25247,104.01207509894832,312817
2022-05-18,23177.0,138,240.63984928643032,24188,100.51535550626677,310122
2022-05-19,23177.0,139,236.4269307717617,23247,98.32636207776956,304692
2022-05-20,23177.0,140,231.00187442248426,22332,96.67454022107425,297701
2022-05-21,23177.0,141,226.72415453338976,21350,94.16729348462859,292188
2022-05-22,23177.0,142,227.30655559485578,20277,89.20552223817558,292939
2022-05-23,16193.57142857143,143,237.21100724439594,19192,80.9068694701283,305703
2022-05-24,16193.57142857143,144,260.59018762601426,18237,69.98344859466778,335832
2022-05-25,16193.57142857143,145,300.04623213527395,17555,58.507650221334686,386681
2022-05-26,16193.57142857143,146,355.59203651244667,17237,48.47408892801979,458265
2022-05-27,16193.57142857143,147,424.1417775834687,17301,40.790605675705365,546608
2022-05-28,16193.57142857143,148,499.6649681090395,17702,35.427738844675176,643937
2022-05-29,16193.57142857143,149,573.9288755059687,18345,31.963890967896106,739644
2022-05-30,21153.285714285717,150,637.6479322435634,19106,29.963243090549298,821761
2022-05-31,21153.285714285717,151,681.8967395995664,19874,29.145175282214588,878786
2022-06-01,21153.285714285717,152,699.7216165146054,20595,29.43313385484085,901758
2022-06-02,21153.285714285717,153,687.8067166108158,21291,30.954917254824025,886402
2022-06-03,21153.285714285717,154,647.7478119621137,22040,34.02558772562725,834777
2022-06-04,21153.285714285717,155,586.2267465232704,22911,39.082147199659616,755493
2022-06-05,21153.285714285717,156,513.599115727375,23916,46.56550073325072,661895
2022-06-06,27687.571428571428,157,441.19926359569286,25001,56.666005732299844,568590
2022-06-07,27687.571428571428,158,378.4942005360556,26098,68.95217935449949,487780
2022-06-08,27687.571428571428,159,331.3539798380523,27204,82.09951186732638,427028
2022-06-09,27687.571428571428,160,302.00202544256837,28416,94.09208417843496,389201
2022-06-10,27687.571428571428,161,290.28121497887514,29897,102.99323021014541,374096
2022-06-11,27687.571428571428,162,295.44660538790316,31761,107.50165823804191,380753
2022-06-12,27687.571428571428,163,317.8864040421515,33984,106.90611352945358,409672
2022-06-13,42561.0,164,360.4796947256031,36389,100.94604642766157,464564
2022-06-14,42561.0,165,429.23539204764495,38761,90.30243246040985,553172
2022-06-15,42561.0,166,532.4983907420021,41008,77.0105613706325,686251
2022-06-16,42561.0,167,677.9910040122264,43244,63.782557208119194,873753
2022-06-17,42561.0,168,867.9065774042994,45732,52.69230720289441,1118504
2022-06-18,42561.0,169,1094.0182034404509,48695,44.51022830046588,1409903
2022-06-19,42561.0,170,1336.0197049003966,52141,39.02711899289482,1721779
2022-06-20,65243.57142857143,171,1565.4973868782797,55843,35.671091161228425,2017516
2022-06-21,65243.57142857143,172,1754.8318664673702,59501,33.906952077284025,2261518
2022-06-22,65243.57142857143,173,1886.9128848265007,62988,33.38150929304384,2431736
2022-06-23,65243.57142857143,174,1960.5209937523214,66469,33.90374304168111,2526597
2022-06-24,65243.57142857143,175,1988.5791013840526,70286,35.344834887926204,2562757
2022-06-25,65243.57142857143,176,1990.6707503304583,74672,37.51097462380667,2565453
2022-06-26,65243.57142857143,177,1984.4719698882343,79546,40.08421444444995,2557464
2022-06-27,104512.28571428572,178,1980.720421551029,84537,42.679925485799856,2552629
2022-06-28,104512.28571428572,179,1983.0827860552986,89198,44.97946360445726,2555674
2022-06-29,104512.28571428572,180,1990.8739109538947,93200,46.81361259857223,2565714
