country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-04-20,221.48831,110,220.79348045792383,228,1.0326391862981186,9509
Spain,ESP,2022-04-21,221.48831,111,240.57136776373,235,0.9768411020167548,10360
Spain,ESP,2022-04-22,221.48831,112,263.7502319240731,245,0.9289091357861979,11358
Spain,ESP,2022-04-23,221.48831,113,289.95459607032876,257,0.8863456675046614,12487
Spain,ESP,2022-04-24,305.7957,114,318.94144403670145,270,0.8465503779713569,13735
Spain,ESP,2022-04-25,305.7957,115,350.9003741557816,283,0.806496717710431,15112
Spain,ESP,2022-04-26,305.7957,116,386.73286158170754,294,0.760214683586915,16655
Spain,ESP,2022-04-27,305.7957,117,428.11687235088334,303,0.7077506624211299,18437
Spain,ESP,2022-04-28,305.7957,118,477.15849567117135,311,0.6517750450247087,20549
Spain,ESP,2022-04-29,305.7957,119,535.5726219298567,318,0.5937570125488006,23065
Spain,ESP,2022-04-30,305.7957,120,603.6131870407245,326,0.5400809773528117,25995
Spain,ESP,2022-05-01,355.5659,121,679.2495515290764,334,0.491719132163023,29252
Spain,ESP,2022-05-02,355.5659,122,758.1318156717482,342,0.4511088875711784,32649
Spain,ESP,2022-05-03,355.5659,123,834.571578200223,347,0.41578219180230797,35941
Spain,ESP,2022-05-04,355.5659,124,903.2240131913545,352,0.38971505945272766,38898
Spain,ESP,2022-05-05,355.5659,125,960.7557954533186,354,0.3684599163234506,41375
Spain,ESP,2022-05-06,355.5659,126,1006.8186685841622,356,0.35358899383602477,43359
Spain,ESP,2022-05-07,355.5659,127,1044.0826566726441,357,0.34192695158610587,44964
Spain,ESP,2022-05-08,360.24036,128,1077.580813786617,358,0.3322256627249966,46406
Spain,ESP,2022-05-09,360.24036,129,1113.8457145929435,359,0.32230675693823274,47968
Spain,ESP,2022-05-10,360.24036,130,1160.1939054138254,360,0.3102929590649702,49964
Spain,ESP,2022-05-11,360.24036,131,1224.1938335340858,360,0.2940710777481435,52720
Spain,ESP,2022-05-12,360.24036,132,1313.0458017529202,361,0.27493328832708186,56547
Spain,ESP,2022-05-13,360.24036,133,1432.4406625452557,362,0.2527155291422504,61688
Spain,ESP,2022-05-14,360.24036,134,1584.5162036023394,363,0.22909200876250607,68238
Spain,ESP,2022-05-15,367.77023,135,1764.8866685700652,364,0.2062455377346794,76005
Spain,ESP,2022-05-16,367.77023,136,1959.47252048456,365,0.1862746204319001,84385
Spain,ESP,2022-05-17,367.77023,137,2142.866678344086,364,0.16986591078138533,92283
Spain,ESP,2022-05-18,367.77023,138,2280.586737019169,361,0.15829259818981647,98214
Spain,ESP,2022-05-19,367.77023,139,2336.7391293006935,356,0.1523490558000536,100632
Spain,ESP,2022-05-20,367.77023,140,2285.8511550133385,348,0.15224088376741632,98441
Spain,ESP,2022-05-21,367.77023,141,2124.1038040459543,339,0.15959671996927785,91475
Spain,ESP,2022-05-22,299.47845,142,1873.7134015106694,328,0.17505345253737958,80692
Spain,ESP,2022-05-23,299.47845,143,1576.9219152354935,318,0.2016586851432721,67911
Spain,ESP,2022-05-24,299.47845,144,1281.8739232074718,308,0.24027323937546866,55204
Spain,ESP,2022-05-25,299.47845,145,1027.4215315290894,300,0.2919931019486388,44246
Spain,ESP,2022-05-26,299.47845,146,833.9554784492902,292,0.35013859557942273,35914
Spain,ESP,2022-05-27,299.47845,147,702.9886678977718,283,0.4025669444235674,30274
Spain,ESP,2022-05-28,299.47845,148,623.1380279422316,273,0.4381051833756945,26836
Spain,ESP,2022-05-29,235.4788,149,577.8652652115759,263,0.4551233926540071,24886
Spain,ESP,2022-05-30,235.4788,150,551.3846440726667,253,0.4588448421981394,23746
Spain,ESP,2022-05-31,235.4788,151,531.6136043476304,246,0.46274210815556327,22894
Spain,ESP,2022-06-01,235.4788,152,510.8694769445432,241,0.47174476236356055,22001
Spain,ESP,2022-06-02,235.4788,153,485.47885078968125,237,0.488177805509952,20907
Spain,ESP,2022-06-03,235.4788,154,455.03256453164073,236,0.5186441991089403,19596
Spain,ESP,2022-06-04,235.4788,155,421.4723848904011,234,0.5551965167560122,18151
Spain,ESP,2022-06-05,231.83185,156,387.99564828060767,234,0.603099547731952,16709
Spain,ESP,2022-06-06,231.83185,157,357.9012489351321,233,0.6510175661393965,15413
Spain,ESP,2022-06-07,231.83185,158,333.68302537074374,233,0.6982674642832721,14370
Spain,ESP,2022-06-08,231.83185,159,316.6453558412934,233,0.7358389936935709,13636
Spain,ESP,2022-06-09,231.83185,160,307.0602429065802,233,0.7588087529484817,13224
Spain,ESP,2022-06-10,231.83185,161,304.61230539760277,234,0.7681895834594262,13118
Spain,ESP,2022-06-11,231.83185,162,308.7927265902481,234,0.7577898695473674,13298
Spain,ESP,2022-06-12,237.68013,163,319.0323237600365,235,0.7366024772359986,13739
Spain,ESP,2022-06-13,237.68013,164,334.5754402787373,237,0.7083604218006962,14409
Spain,ESP,2022-06-14,237.68013,165,354.2443088274975,239,0.6746756236989632,15256
Spain,ESP,2022-06-15,237.68013,166,376.2757988078785,241,0.6404876443383791,16204
Spain,ESP,2022-06-16,237.68013,167,398.36472277143383,245,0.6150142971885878,17156
Spain,ESP,2022-06-17,237.68013,168,417.97127813183374,251,0.6005197321736333,18000
Spain,ESP,2022-06-18,237.68013,169,432.8624964578955,258,0.5960322322012382,18641
Spain,ESP,2022-06-19,285.90613,170,441.7595783061317,266,0.6021374817042827,19024
